Initial_Speed,Final_Speed,Speed_Change,Car_Type,Weather,Location,Observer,Date,Source
,31,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,26,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,35,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,38,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,34,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,37,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,38,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,39,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,27,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,28,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,40,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,25,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,32,,Truck,,,Tommy,2025-04-09,Car Data Collection.csv
,36,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,35,,Sedan,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,43,,SUV,,,Tommy,2025-04-09,Car Data Collection.csv
,31,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,30,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,29,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,28,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,33,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,31,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,32,,Coupe,,,Philip,2025-04-14,Car Data Collection.csv
,29,,Minivan,,,Philip,2025-04-14,Car Data Collection.csv
,27,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,35,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,29,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Coupe,,,Philip,2025-04-14,Car Data Collection.csv
,31,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,32,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,31,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,34,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,33,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,34,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,32,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,27,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,28,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,33,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,32,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,26,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,29,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,29,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,29,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Coupe,,,Philip,2025-04-14,Car Data Collection.csv
,29,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,31,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,31,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,35,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,34,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,38,,Coupe,,,Philip,2025-04-14,Car Data Collection.csv
,34,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,26,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,27,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,33,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,34,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,29,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,39,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
,36,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,30,,Sedan,,,Philip,2025-04-14,Car Data Collection.csv
,33,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,26,,SUV,,,Philip,2025-04-14,Car Data Collection.csv
,18,,Truck,,,Philip,2025-04-14,Car Data Collection.csv
